size   width  height w/h   
9      12     23     0.522 
9.05   12     23     0.522 
9.1    12     23     0.522 
9.15   12     23     0.522 
9.2    12     23     0.522 
9.25   12     23     0.522 
9.3    12     23     0.522 
9.35   12     23     0.522 
9.4    12     23     0.522 
9.45   12     23     0.522 
9.5    12     24     0.500 
9.55   12     24     0.500 
9.6    12     24     0.500 
9.65   12     24     0.500 
9.7    12     24     0.500 
9.75   12     24     0.500 
9.8    13     24     0.542 
9.85   13     24     0.542 
9.9    13     24     0.542 
9.95   13     24     0.542 
10     13     24     0.542 
10.05  13     25     0.520 
10.1   13     25     0.520 
10.15  13     25     0.520 
10.2   13     25     0.520 
10.25  13     25     0.520 
10.3   13     25     0.520 
10.35  13     25     0.520 
10.4   13     25     0.520 
10.45  13     25     0.520 
10.5   13     25     0.520 
10.55  13     25     0.520 
10.6   14     27     0.519 
10.65  14     27     0.519 
10.7   14     27     0.519 
10.75  14     27     0.519 
10.8   14     27     0.519 
10.85  14     27     0.519 
10.9   14     27     0.519 
10.95  14     27     0.519 
11     14     27     0.519 
11.05  14     27     0.519 
11.1   14     27     0.519 
11.15  14     28     0.500 
11.2   14     28     0.500 
11.25  14     28     0.500 
11.3   14     28     0.500 
11.35  14     28     0.500 
11.4   15     28     0.536 
11.45  15     28     0.536 
11.5   15     28     0.536 
11.55  15     28     0.536 
11.6   15     28     0.536 
11.65  15     29     0.517 
11.7   15     29     0.517 
11.75  15     29     0.517 
11.8   15     29     0.517 
11.85  15     29     0.517 
11.9   15     29     0.517 
11.95  15     29     0.517 
12     15     29     0.517 
12.05  15     29     0.517 
12.1   15     29     0.517 
12.15  15     29     0.517 
12.2   16     31     0.516 
12.25  16     31     0.516 
12.3   16     31     0.516 
12.35  16     31     0.516 
12.4   16     31     0.516 
12.45  16     31     0.516 
12.5   16     31     0.516 
12.55  16     31     0.516 
12.6   16     31     0.516 
12.65  16     31     0.516 
12.7   16     31     0.516 
12.75  16     32     0.500 
12.8   16     32     0.500 
12.85  16     32     0.500 
12.9   16     32     0.500 
12.95  16     32     0.500 
13     16     32     0.500 
13.05  17     32     0.531 
13.1   17     32     0.531 
13.15  17     32     0.531 
13.2   17     32     0.531 
13.25  17     32     0.531 
13.3   17     33     0.515 
13.35  17     33     0.515 
13.4   17     33     0.515 
13.45  17     33     0.515 
13.5   17     33     0.515 
13.55  17     33     0.515 
13.6   17     33     0.515 
13.65  17     33     0.515 
13.7   17     33     0.515 
13.75  17     33     0.515 
13.8   17     33     0.515 
13.85  18     35     0.514 
13.9   18     35     0.514 
13.95  18     35     0.514 
14     18     35     0.514 
14.05  18     35     0.514 
14.1   18     35     0.514 
14.15  18     35     0.514 
14.2   18     35     0.514 
14.25  18     35     0.514 
14.3   18     35     0.514 
14.35  18     35     0.514 
14.4   18     36     0.500 
14.45  18     36     0.500 
14.5   18     36     0.500 
14.55  18     36     0.500 
14.6   18     36     0.500 
14.65  19     36     0.528 
14.7   19     36     0.528 
14.75  19     36     0.528 
14.8   19     36     0.528 
14.85  19     36     0.528 
14.9   19     37     0.514 
14.95  19     37     0.514 
15     19     37     0.514 
15.05  19     37     0.514 
15.1   19     37     0.514 
15.15  19     37     0.514 
15.2   19     37     0.514 
15.25  19     37     0.514 
15.3   19     37     0.514 
15.35  19     37     0.514 
15.4   19     37     0.514 
15.45  20     39     0.513 
15.5   20     39     0.513 
15.55  20     39     0.513 
15.6   20     39     0.513 
15.65  20     39     0.513 
15.7   20     39     0.513 
15.75  20     39     0.513 
15.8   20     39     0.513 
15.85  20     39     0.513 
15.9   20     39     0.513 
15.95  20     39     0.513 
16     20     40     0.500 
